BIOME,biomname,ECO_NAME,CODE,TYPE,count,synbiome,synth
6,Boreal Forests/Taiga,Alaska Peninsula montane taiga,0,unk,32,Boreal/Subalpine Forest,Alaska Peninsula montane taiga
6,Boreal Forests/Taiga,Central Canadian Shield forests,0,unk,238,Boreal/Subalpine Forest,Central Canadian Shield forests
6,Boreal Forests/Taiga,Cook Inlet taiga,0,unk,51,Boreal/Subalpine Forest,Cook Inlet taiga
6,Boreal Forests/Taiga,Copper Plateau taiga,0,unk,26,Boreal/Subalpine Forest,Copper Plateau taiga
6,Boreal Forests/Taiga,Eastern Canadian forests,0,unk,249,Boreal/Subalpine Forest,Eastern Canadian forests
6,Boreal Forests/Taiga,Eastern Canadian Shield taiga,0,unk,388,Boreal/Subalpine Forest,Eastern Canadian Shield taiga
5,Temperate Coniferous Forests,British Columbia mainland coastal forests,4,Fir-hemlock forest,2,Boreal/Subalpine Forest,Fir-hemlock forest
5,Temperate Coniferous Forests,Cascade Mountains leeward forests,4,Fir-hemlock forest,3,Boreal/Subalpine Forest,Fir-hemlock forest
5,Temperate Coniferous Forests,Central and Southern Cascades forests,4,Fir-hemlock forest,14,Boreal/Subalpine Forest,Fir-hemlock forest
4,Temperate Broadleaf and Mixed Forests,Western Great Lakes forests,84,Great Lakes spruce-fir forest,42,Boreal/Subalpine Forest,Great Lakes spruce-fir forest
6,Boreal Forests/Taiga,Interior Alaska-Yukon lowland taiga,0,unk,270,Boreal/Subalpine Forest,Interior Alaska-Yukon lowland taiga
6,Boreal Forests/Taiga,Kamchatka-Kurile meadows and sparse forests,0,unk,26,Boreal/Subalpine Forest,Kamchatka-Kurile meadows and sparse forests
6,Boreal Forests/Taiga,Kamchatka-Kurile taiga,0,unk,17,Boreal/Subalpine Forest,Kamchatka-Kurile taiga
13,Deserts and Xeric Shrublands,Great Basin shrub steppe,8,Lodgepole pine-subalpine forest,1,Boreal/Subalpine Forest,Lodgepole pine-subalpine forest
5,Temperate Coniferous Forests,Sierra Nevada forests,8,Lodgepole pine-subalpine forest,7,Boreal/Subalpine Forest,Lodgepole pine-subalpine forest
6,Boreal Forests/Taiga,Mid-Continental Canadian forests,0,unk,194,Boreal/Subalpine Forest,Mid-Continental Canadian forests
6,Boreal Forests/Taiga,Midwestern Canadian Shield forests,0,unk,284,Boreal/Subalpine Forest,Midwestern Canadian Shield forests
6,Boreal Forests/Taiga,Muskwa-Slave Lake forests,0,unk,140,Boreal/Subalpine Forest,Muskwa-Slave Lake forests
